message;text
policy;$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX
policy;Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews
media;"Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!"
support;".@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement."
policy;"#Florida is ""tale of what went right with President Barack Obama's health care overhaulâ€ù despite GOP opposition: http://t.co/bhsAcU3Wje"
mobilization;"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight"
support;FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5
media;Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh
policy;Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C
policy;What other options are there for raising $350 billion with such a negligible impact on middle-class Americans and Main Street businesses?
constituency;Thanks to LI Farm Bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdLjiMjd
information;For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1
personal;Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY
information;"RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://â€_"
support;Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout
policy;"#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r"
policy;WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky
policy;We need to work together to find real solutions to @FixtheDebt before @TheCanKicksBack http://t.co/5HXcsgTn79
personal;Congrats to the #coleg - last day of session.
attack;DemandarÃ¡ Obama un recuento en #Venezuela? Creo q deberÃ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh
policy;As @RepJoeGarcia says this isn't everything each side wants but is a point for reasonable bipartisan support to fix the broken system.
information;"ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C"
support;Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF
personal;Looking fwd to #ThirteenSoldiers book signing tomorrow @ChangingHands Bookstore in #Tempe - more info: http://t.co/tvuwI3Xbuz #Arizona
policy;Today marks the 4th time in 5 years that Pres. Obama missed the legal deadline to submit his budget plan: http://t.co/RivWKVg1 #RequireAPlan
information;Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc
policy;The Obama economy just isnâ€™t cutting it for hardworking Americans â†’ http://t.co/yagUZrvj6i
support;"Great to see Ft Monroe Authority Ex. Dir. Oder, Dr. Wagner &amp; Dr. Koch at the State of the Region presentation in Hpt http://t.co/DtPxkJWBsi"
media;Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke
information;RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://â€_
attack;"DoD Secy Chuck Hagel, reportedly in charge of #Bergdahl exchange, claimed he ""doesn't know..."" today via @FreeBeacon https://t.co/tLImg8ASlt"
personal;Can it be any clearer? Lerner and #IRS were covering their tracks! http://t.co/C2P3NsOkP9
personal;Hear my recent discussion on #Syria with Irelandâ€™s @rtenews (begins at 5:45):   http://t.co/vKeyErEUj4
attack;RT to tell President Obama the buck stops with him. http://t.co/n8t627WxCn #IRS #IRSscandal #Benghazi
policy;Must Read: How to get a raise at McDonaldâ€™s - @HaroldMeyerson, @WashingtonPost: http://t.co/zh4cva5Txz #StrikeFastFood
information;The number of people signing up for health insurance continues to increase.
information;RT @HouseHomeland: ICYMI: Chairman @McCaulPressShop on @CBSThisMorning on the #Boston bombing investigation and yesterday's hearing: http:/â€_
support;"Thoughts &amp; prayers are w/ the families of the 3 innocent Israeli teens. Abbas must denounce terrorism &amp; bring those responsible to justice"
policy;President Obama wanted 3 things on gun control -- ban assault weapons, limit magazine sizes, and expand background checks. He'll lose all 3.
support;"Happening now: Ways &amp; Means hearing w/ IRS Commissioner Koskinen. Tune in to http://t.co/u9cJET2oml to hear my question re: ACA tax concerns"
personal;Don't forget to cast your vote #FL17 Congressional Art Competition. Winner will hang in US Capitol https://t.co/hRHzBBGi8W #sayfie
media;Just about to join @seanhannity's radio show at about 4:05pm ET, listen live http://t.co/BwXaP3KjKV
information;Senate passes #VAWA reauthorization in vote of 78-22
information;Attending the State of the Union. http://t.co/nKfjFwzz
policy;"I'm on the House floor to manage the rule for the House GOP plan to keep govt open, stop #ObamaCare &amp; protect troops: http://t.co/7PlgqhX4g4"
personal;"Was an honor &amp; a privilege to visit &amp; thank @WYOguard troops stationed in #Bahrain this 4th of July weekend. http://t.co/rX1RdulMYx"
personal;Senate will be done but mess inHouse:Republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/ARxkbe8bbk
policy;ICYMI: I talked to @MyDesert about how Congress will have to work together to pass a strong #CIR bill in the House http://t.co/1syj2GeV4c
attack;Parents want to know their kids are in a safe place w/ qualified providers. CCDBG is essential 4 #ChildCareProtection http://t.co/WXfvAgfe2L
constituency;Should Utah be forced by the EPA to lower ozone levels below the naturally occurring level? http://t.co/ONGfKQxOKK @UtahPoliticoHub #utpol
information;"""Landrieu still has only about a 1-in-3 chance of winning even when her incumbent status is included"" http://t.co/dTCGtHynv8 #LASEN"
media;"@MatthewWYMT &amp; @MichelleWYMT stopped by my office earlier to talk about #RxDrugAbuse. Watch @WYMT at 6PM. http://t.co/28tCNbGFCA"
personal;"So very sad to hear about the passing of Jim Ragsdale. He was a true professional &amp; a kind soul.  Jim, you will be missed greatly."
personal;"""Balboa Park is the only place in USA with 28 major cultural institutions w/in 1 sq mile."" #arts cc:.@RepSusanDavis http://t.co/XGGrkDI9Iv"
other;"PHOTO: Joined ""World's Most Interesting Man"" (from America's Most Interesting State) @ #landmines event on Cap. Hill http://t.co/6cVbofvNLu"
media;"W/RI Cong delegation, Mayors, police, @tenygross &amp; families affected by guns to present unified voice on gun safety http://t.co/9e78ICsvOq"
support;"Congrats @Hanscom_AFB C-IED Team! Their work on detecting &amp; destroying IEDs earned the Theodore von Karman Award http://t.co/2wOiL3arPt"
support;Since 1970 our spending has grown 288% while the median income has grown only 24%-- a difference of 264%. http://t.co/G5q55bWI #tcot
personal;Mandela. Chg. South Africa chg the world. Inspired hearts n minds of millions of us. Condolences to his family n south african people
personal;Got a mess of oysters and clams out on Sound this morning. These guys have a rendezvous with white wine, fresh garlic, shallots and pepper.
mobilization;RT if you think America succeeds when #WomenSucceed http://t.co/uBQRhIKuvg
information;Tips for staying warm should you be outside this week helping clean after recent storms via the Coal City Courant: http://t.co/j5hwgEkIdP
media;RT @kevinscholla: My interview w/@RepDavid Schweikert on @SarahNETRadio! Huge meeting coming up w/constituents! http://t.co/Pf2edk5kxG â€_
personal;St. Robert Community Center, 114 JH Williamson Dr. In St. Robert (2 of 3)
support;Joining @RobbHanrahanCBS on Face the State on @CBS21NEWS around 11:30 this morning to talk about #Ebola. http://t.co/WCqg6KpPF5
personal;In the hustle and bustle of the holidays (and don't forget its also Iron Bowl week), I know its easy to get distracted.
personal;"Great to see -- @johnerardi says, ""Ted Kremer will be @Reds' batboy tonight"" http://t.co/mmmBPMLauQ"
other;Celebrating @USMC 239th bday at So. NV Marine Corps Ball - largest non-active duty ball in the world! Semper Fi! http://t.co/f8D9AoNFpL
policy;Now is the Time to Balance the Budget http://t.co/AaOKH9gG
support;"Welcome to @SenateBanking @Sen_JoeManchin @elizabethforma @SenatorHeitkamp @TomCoburn &amp; @SenDeanHeller. Look fwd to working with all of you."
personal;April is Sexual Assault Awareness Month. According to @RAINN01, 60% of sexual assaults are not reported to police. #StandUp #SAAM
support;House GOP r focused on pro-growth bills #4jobs. Itâ€™s time #SenateDems act on these bills so ppl can get back 2 work http://t.co/DJSsQxyUrC
media;.@kerrywashington Congrats on @ELLEmagazine cover! So excited for you! #girlpower
media;#SFRC hearing today at 10:00 a.m. ET with Secretary Kerry. Watch live: http://t.co/Ay1KZ8x97x
policy;For 3 mos. the IRS failed to tell Congress they couldn't provide Lerner emails. My speech abt need for accountability:http://t.co/spq6b3D5nW
information;"Been discussing Impact Aid &amp; military students in Mascoutah. 60% of students at Mascoutah are affiliated w/ @ScottAFB http://t.co/I2prVghIfL"
support;Thanks to the Pawnee County folks who turned out to the Town Hall meeting in Larned. These folks areâ€_ http://t.co/sqsEF5p5vL
attack;".@theobserver editors agree the President's admin earned their reputation for obfuscation &amp; disregard for failures http://t.co/mpotP2fw1k"
attack;It's time the Obama Admin answer to the American people on #Benghazi. Four Americans were murdered and no one has been held accountable.
personal;Rep. Wilson commemorates the third anniversary of the earthquake with a call to action: Remember #Haiti. http://t.co/05VbzrDW
policy;Vets groups, editorials, Democrats agree: more funding â‰  more #VAaccountability http://t.co/9i3lXJxzaC
personal;Looking for Job? Help me, help residents looking for a job. Participate in our Roundtable on Unemployment. Call my Office at 202-408-9041.
personal;"Traveling 6th District! Spent Tues speaking to @fwhcc &amp; awarding Ryan Esplin the TDF Foundation Veterans Scholarship https://t.co/JYLQNqaMwJ"
constituency;Great crowd at the town hall tonight. Thanks to all those who came out and asked questions. http://t.co/ne0OdbFo8u
policy;Almost one year since the Senate passed comprehensive immigration reform. The #TimeIsNow for the House to act! http://t.co/seSuk4jjwG
policy;I am deeply concerned by and condemn the over 400 rocket attacks launched by Hamas against Israel. http://t.co/cUa9vEK9pq
policy;"RT @UANI: The only vote that counts in the #iranelection today: that of the unelected ""Supreme Leader"" http://t.co/a3acacQqrh"
attack;@ladybigmac @SpeakerBoehner @virginiafoxx @RepTomReed @KeithRothfus @RepKevinCramer Yep Obama uses fed agencies against political opponents
media;@gillespie_r6 let's not make the same mistake in the future by appreciating fully what happened. Yes, let's move forward, but facts matter.
support;Congratulations to Sally Jewell for being officially sworn in as the new @Interior secretary: http://t.co/Zi07xEh0gd
support;Our #MadeInWI economy is always cooking up something good! Check out @MadisonCollege's new culinary training center. http://t.co/19lRCCwwpp
policy;The faces of hunger are veterans, children, seniors, and the disabled. .@GOPLeader Don't cut #SNAP. #EndHungerNow http://t.co/ZVImYZi1Kc
information;#Delco County Council Chairman Tom McGarrigle has declared a #weather-related State of Emergency
support;Today, I held an Autism round table at Peaceful Living in New Britain. Great dialog between local groups in the... http://t.co/qpFmEVzMm3
support;"Thanks @ONEcampaign for visiting my St. Paul staff &amp; for all the great work you do fighting global #poverty &amp; #hunger http://t.co/xCsocfoEwc"
policy;"#ProDDEnergy Here's the thing: Oil &amp; wind don't compete. Yet @Stabenow said this morning that ""wind needs to catch up."""
policy;I'll continue working for strong bipartisan comprehensive #immigrationreform plan including #DREAMAct w support of groups like @CT4aDREAM
policy;Need to find most effective ways to address this #addiction crisis so that people like the Griffins know where to go to get help
attack;The President must never be able to make unilateral decisions about enforcing some laws, but not others. http://t.co/cVaIt2em3X
attack;President Obama missed this yearâ€™s legal deadline to submit a budget to Congress, just like he has nearly every year of his presidency.
policy;School shootings should not be our nation's norm.  http://t.co/VECoS6ErSB
support;My stamement on the House passed appropriations bill: http://t.co/G7VhSaHfm6
information;Yesterday, I shared Janetâ€™s story on the House Floor. http://t.co/s1kYR2TZ9f
personal;@SenDanCoats Great movie!
personal;Honored to spend time with employees at Boeing last night to celebrate their long history of service to our country. http://t.co/WDeQG0odmO
personal;Meeting with my friend Governor Perry this morning, who is in town to address CPAC
media;TUNE IN starting @ 9:30am CT for live video of USS North Dakota christening ceremony http://t.co/XynmDj6Jx5 or http://t.co/yEsSJbsVTf
personal;Today: Farmington, EHartford, Willimantic, Thompson, Hartford, Manchester.
personal;My sympathy and my prayers go out to the families of the victims, and the Quantico community.
personal;We join together this month to commemorate Black History Month to honor the remarkable accomplishments and... http://t.co/sUEkAZ8crM
support;#RyanBudget hurts everyone in this country. When it comes to Medicare, it hurts seniors on the program now and seniors in the future.
support;Always great to see Senator Richard Bryan. #HomeMeansNevada #BattleBorn http://t.co/KsBvjCADny
policy;"At the @AntiochPolice 47th neighborhood cleanup working to keep #Antioch &amp; #CA9 clean http://t.co/OxzGMnIcjl"
information;3 Arkansas counties have been designated as federal disaster areas. My statement: http://t.co/nUBElBgdft
policy;ICYMI -  @USATODAY on legislation I introduced to improve research for Veterans struggling with Gulf War Illnesses http://t.co/STy3E46t8B
policy;We're running out of time to renew the Highway Trust Fund. It's time to act: http://t.co/q4oDVjtPTE  http://t.co/YuI9XOFjOA
policy;As Obama talked abt infrastructure projects, I heard a firsthand account of how delay of #Keystone negatively impacted business. #Time2Build
support;Enjoyed it! â€œ@AttyAbdul: Good chat with @RepLarryBucshon @93wibc. Up next @MayorBallardâ€ù
support;Letâ€™s thank our #Veterans 4 their service + sacrifice! Ceremony, parade + picnic Tue Nov 11 @ 11AM http://t.co/MqHLr1WzEY
personal;"I hope Senate Dems will seriously consider this amdt &amp; will not throw our veterans &amp; unemployed under the bus. http://t.co/AfMklJ30LP"
policy;Admin reached deal w the man who bragged of advancing #nukes prgrm thru deception. I remain skeptical. #NKorea all over again.
attack;Breaking the Silence on the IRS Outrage: http://t.co/bX27ADwu2O via @NewYorkObserver #IRStargeting
personal;Going to be talking w @GolfChannel about #MemorialTournament and my efforts for Congressional Gold Med for #GoldenBear, Jack Nicklaus
personal;RT @washingtonpost: A transcript of President Obama's speech http://t.co/D6i5rT1wpd #MarchonWashington #MOW50
information;MT @YubaSutterArts Do you know a student who wants his/her #art displayed at the US Capitol? http://t.co/ReyUuvxuix
support;@SenRandPaul deserves an answer from Obama Admin questions abt use of force on U.S. Citizens in U.S.(http://t.co/xb7RkjYWCu)
constituency;Great to meet @horizonbeverage employees. So glad to have them working in NH http://t.co/Vmta6dwA6u
information;Today the House voted in favor of the National Flood Insurance Fund. This protects over 1300 #Isaac claim payments from being delayed too.
policy;Apropiado q Maduro + Ortega juntos en #Nicaragua, ambos manipuladores d elecciones. #Venezuela + Nicaragua necesitan elecciones libres.
personal;Have a great Labor Day weekend #Indy! Safe travels to you and your family.  I hope to see you out and about in the district.
personal;@dwaynebenji Thank you so much Dwayne!!!!
information;RT @PerkasieBorough: Due to the extreme flooding, CALLOWHILL STREET from 3rd to Walkers Way is currently closed. http://t.co/6GDTkQbpEZ
attack;Senator Obama debates President Obama: http://t.co/00kQ8qQlaa via @wtcommunities
policy;At the 3rd Annual Foothills Homeless Veterans Stand Down. Thank you to the over 150 volunteers forâ€_ http://t.co/DRNI8n8e37
support;Thanks again to @AlGore for making the time to speak at #EEDayRI.  And ICYMI, here is the video of his speech: http://t.co/h5oGI3gj9a
support;Was glad to welcome Jason Smith to Congress and witness his swearing today. He is an outstanding leader who will represent MO-8 well.
personal;@et_disclosure I got your message.
personal;Great to be at @nnedv breakfast to support efforts to end domestic violence http://t.co/cPdvu76fY6
personal;"#tbt President FDR signed #SocialSecurity Act into law #OTD in 1935. Itâ€™s up to us to preserve &amp; protect it now. http://t.co/b2YYBXS3uG"
personal;My thoughts and prayers are with those affected by the recent storms in the U.S.!
information;A #GOPshutdown will mean the @SBAgov will stop processing loans to American #SmallBusinesses. #EnoughAlready!
information;Live on @DennisDMZ today at 12:45p ET. Dennis out today, @ChristianDMZ guest hosts. Listen live: http://t.co/koyYMOD9Ky
policy;RT @ncfarmbureau: #FarmBill 2013 Voted out of Senate Ag Committee yesterday now House Ag Committee on schedule to vote their version tonight
other;RT @J_Insider: Kosher restaurant caters to a new Newark | NJJN http://t.co/w6GNv6oYA7 @corybooker
personal;@living_rights Thanks so much for checking in. All is going well in this Vegan journey.
policy;Headed to @WhiteHouse for the signing of bipartisan worker training bill to modernize our workforce development system #WIOA
policy;Tune In: Sec. Kerry is testifying about #syria before the @HASCRepublicans. Watch - http://t.co/5ZzHknJco2
policy;"The GOP proposal sets no cap on interest rates &amp; could cost students thousands of extra dollars. #DontDoubleMyRate http://t.co/MiIqmRQ1Uj"
media;We are running late. Heading there now. The mayor VS me. RT @TheClimateHawk we showed up at the showdown.  Watch out for hole 6!
personal;"Congrats to @SouthwestAir: 43 yrs ago, 1st flights out of @DallasLoveField. We LUV having you serve #TX27 via @CCIntAirport &amp; @AUStinAirport"
policy;Via @CNN: â€œDemocratic senator asks Obama to delay #Obamacare deadlineâ€ù http://t.co/tvbzBSaU99 #FairnessForAll
personal;Did you know I am on Instagram? Check it out and follow me! http://t.co/nx05a6uSlE http://t.co/4mLeZz3vcy
media;Joined by colleague Congresswoman Tulsi Gabbard at Celebrity Charity Classic http://t.co/9qnZegKRPv
personal;"Join me, @SenWarren @MayorTomMenino &amp; Rep Capuano at Faneuil Hall #Boston today at 11AM. #DemandAction @nomorenames http://t.co/Q5ulw6lgm4"
mobilization;Excellent. Please RT: WSJ: It was not the Declaration of Independence that gave us freedom but the Continental Army. http://t.co/dgmSKoWzVa
personal;But I remain concerned about the denial and insensitivity expressed in his initial response.
mobilization;Todayâ€™s Supreme Court action continues the march of progress towards #marriageequality for all: http://t.co/L41phSwCFY #26statestogo
media;Here's a clip of me speaking at the GOP leadership press conference this morning #FairnessForAll http://t.co/B6xS8mji8U
personal;Find out how what happens in Washington can impact you http://t.co/xPKRywPld8 http://t.co/TuK7Mb0pVm
policy;V plsd to see @CDCgov report showing childhood obesity falling in many states incl #NY http://t.co/qnopVen5C2 But we must cont. to do more!
other;@keysoffaith Hmm that's odd, here's another link: http://t.co/oS1EZVmCwL
information;the supreme Court shall have appellate Jurisdiction, both as to Law and Fact, with such Exceptions,
attack;READ: Our letter to POTUS on reforming the #VA. He must lay out a vision for mending what is clearly a broken system http://t.co/EX5z6szspr
support;RT @NRECAintl: Thx @SenMarkPryor for recognizng our AR volunteers' recent work in Guatemala! @highleyunlikely @melfly1  #coopsindc http://tâ€_
personal;"After a #LaborDay picnic in #ErieCounty now Penny &amp; I now visiting the #Waterford Fair"
personal;Honored to attend today's Inaugural ceremony. http://t.co/j9Fl4fvI
policy;@GhostreconLee - I'm a proud cosponsor of HR 3546, which would extend this critical lifeline for one year. #RenewUI http://t.co/8Uey04mOEi
support;MT @RepLindaSanchez: @HouseGOP shouldn't limit access to quality #EarlyEd. We should instead invest in our future! http://t.co/mFH6nJMicd
policy;RT @AppropsDems: .@RepDavidEPrice : continuing to slash investments in our communities is highly irrational and damaging to economy and Conâ€_
support;Said on @nbc6: even though airstrikes r long overdue, I support action though #Obama shouldn't circumvent #Congress https://t.co/TYQZlguwns
policy;Itâ€™s 10/10 and I support HR 1010 that will #RaisetheWage to $10.10 an hour. #Timefor1010
support;"1 - False. Lewis &amp; Clark encountered their first grizzly bears in #NorthDakota. #NationalTriviaDay"
personal;great times at #YALcon13 @YALiberty http://t.co/CJssIcVk4b
personal;Our Founders created a series of checks and balances for our democracy to prevent any branch of government from becoming too powerful.
personal;Since Obama Took Office, we have lost 592,000 manufacturing jobs.  http://t.co/q7VTz1Y7fK #SpeechesDontHire
mobilization;"To honor Sakia Gunnâ€™s memory letâ€™s take real action for LGBTQ #Equality &amp;against violence/discrimination @AAOGCNewark http://t.co/5SVBu2sIUK"
policy;@egpvokpvalleyok Actually, I voted against the BCA defense cuts known as sequester. http://t.co/V2tNpFF3GM
policy;Introduced the GROWTH Act today w/ @DentPressShop to reform #unemployment insurance while bolstering job creation: http://t.co/x0Tc8sSjtj
support;"I joined @RepDuckworth &amp; a bipartisan group to introduce the MOM Act, extending maternity leave for military mothers."
personal;ACA requires insurers to spend 80% of premiums on medical care, as a result 8.5M Americans got a rebate #GetCovered http://t.co/jdphG4Ev3g
media;Headed to @NatResources hearing on American Energy Jobs w/ @mikeroweworks testifying. Watch live: http://t.co/NLLmeicpx6
information;Larry Webb w/City of Rio Rancho says conservation is big deal, but low-hanging fruit when it comes water alternatives. #NMWaterInnovation
personal;Inspired effort by #Navy vs #OSU today - proud of the Midshipmen! #GoNavy
personal;There are many resources available to those who struggle with suicidal thoughts.-Joe
media;I will join @tperkins on his show today at 5:25pm EST/4:25pm CST. You can listen here: http://t.co/MLa7xs5NpW
policy;"With the President continuing to abuse his power, pls read my new e-newsletter, ""Enforcing the Law is Not Optional"": http://t.co/mUwUo6xOiY"
constituency;"Thanks to Scituate High Schoolâ€™s AP government class for having me today to discuss civic engagement &amp; the future of our state."
personal;Jumped off the top of a perfectly good stadium!
policy;Theyâ€™ll get only longer under #ACA â€œChicago-area hospitals top Crain's list of the longest ER waits.â€ù -@CrainsChicago http://t.co/5DiWAYkniQ
personal;Enjoyed touring Dellâ€™s facility in Nashua this morning http://t.co/D3crN2QBzs
policy;Hancock Co.mtg - 82ppl in Garner. Qs abt SSNotch, Debt, Guns, homeland Security,PTSD, WHTours, GayMarriage, TermLimits, CropInsur, Farm Bill
policy;@americasvoice working off left wing Playbook. Don't agree with the version of #immigrationreform they want?Then you are a hater.
personal;A great lunch at Hotel Congress in #Tucson - one of the great historic hotels of #Arizona http://t.co/Z6uIyIFX
policy;Thnx @SenatorBarb Mikulski @SenBlumenthal @maziehirono 4 cosponsoring the Smartphone Theft Prevention Act.1/3 of burglaries are now cells!
policy;.@wecanwait @HuffPostParents I had pen pal. Itâ€™s different, b/c real time, no pause button, lag time between whatâ€™s said or should be said.
personal;Happy birthday to @FLOTUS Michelle Obama! Youâ€™ve been a fantastic First Lady and wonderful leader on veterans issues. #AndManyMore
policy;"Am cosponsoring @SenatorShaheen @robportman bill to increase #energyefficiency across public &amp; private sectors http://t.co/vagyn98Pz7"
attack;U.S. veterans using federal govtâ€™s online benefits system experience #glitches. Sound familiar? http://t.co/S8Eb7sKe12
support;"I voted to reopen the govt., put people back to work, &amp; protect our country from an unprecedented financial crisis http://t.co/QMyc7C710u"
personal;Today let us celebrate our freedoms and how blessed we are to live in this great country. Happy #IndependenceDay http://t.co/jXwNvpSBhw
information;Creative #COenergy development at EDF Heartland #Biogas Proj in #WeldCounty shows #CO in driver's seat on innovation. http://t.co/1pRtJVQjXv
policy;Medicare Open Enrollment is underway. Hereâ€™s what the House has done to save the program - via @bluebagnews: http://t.co/xewJRqZkny #OH08
personal;Looking forward to having @GabbyGiffords as my guest at the #SOTU tonight. Great to you have you in the House!
support;Yes I will! RT @VictoriaFinkle: Crapo also said he'll keep fighting for structural change to CFPB.
other;Thanks for sharing! RT: @PJNET_Video New #PJNET Video Showcase entry courtesy of US House Member @RepFincherTN08 http://t.co/c6nmPiO6nj
policy;"@IanHainline Every foreign-born grad w/a grad. degree from a U.S. univ. who stays &amp; works in #STEM creates on avg. 2.6 US jobs. #imarch"
media;Talked abt impt local + nat'l issues w/ @Univision. Airs 2nite at 6.30pm on #Miami Ch 23. http://t.co/2kz2lA0E
information;"ICYMI: Yesterday I voted for the ""ENFORCE the Law Act"" to restore balance to the separation of powers. http://t.co/frsSARkAyD"
personal;Great to be at Lincoln Electric and proud to have such a successful company headquartered in NE Ohio and #OH14.
personal;"via @WSJ: Obama's ""energy taxes and mandates that will ensure fewer jobs, still lower incomes and slower growth."" http://t.co/pECzinZDCl"
support;@CFPB study confirms need to prevent medical debt unfairly harming consumersâ€™ credit scores: http://t.co/VoTYLe1Qmr
policy;Standing w/ furloughed fed workers in rain who want Congress to do our jobs so they can do theirs. #GOPshutdown http://t.co/7A4z8uvXlY
